electrode,bin,R2,Beta,Fstat,p,fstretch,perm_p,predictor,region,sub,epoch,type,first_elec,second_elec,first_region,second_region,ROI,time
LOF2-LOF3,bin_1,0.00124427767663124,-0.0036109992670591,0.265361328299499,0.606994727973262,12.7889530506197,0.03,ineq_disadvent,All,IR28,presentation,single,LOF2,LOF3,OFC - medial frontal area 11,ant cing cortex,OFC - medial frontal area 11-ant cing cortex,50
LOF2-LOF3,bin_2,0.00277337036275516,-0.00613219443253309,0.592370750750743,0.44235651906981,12.7889530506197,0.03,ineq_disadvent,All,IR28,presentation,single,LOF2,LOF3,OFC - medial frontal area 11,ant cing cortex,OFC - medial frontal area 11-ant cing cortex,100
LOF2-LOF3,bin_3,0.00610990397310392,-0.00975389406484144,1.30940991511391,0.253785799143181,12.7889530506197,0.03,ineq_disadvent,All,IR28,presentation,single,LOF2,LOF3,OFC - medial frontal area 11,ant cing cortex,OFC - medial frontal area 11-ant cing cortex,150
LOF2-LOF3,bin_4,0.0104449338244658,-0.0131292999866482,2.2482537664221,0.135245961972718,12.7889530506197,0.03,ineq_disadvent,All,IR28,presentation,single,LOF2,LOF3,OFC - medial frontal area 11,ant cing cortex,OFC - medial frontal area 11-ant cing cortex,200
LOF2-LOF3,bin_5,0.0135205205541542,-0.0152053313606195,2.91934190020113,0.0889802428646122,12.7889530506197,0.03,ineq_disadvent,All,IR28,presentation,single,LOF2,LOF3,OFC - medial frontal area 11,ant cing cortex,OFC - medial frontal area 11-ant cing cortex,250
LOF2-LOF3,bin_6,0.0113675656471401,-0.0141768114912332,2.44913215337282,0.119074320698235,12.7889530506197,0.03,ineq_disadvent,All,IR28,presentation,single,LOF2,LOF3,OFC - medial frontal area 11,ant cing cortex,OFC - medial frontal area 11-ant cing cortex,300
LOF2-LOF3,bin_7,0.00598112361269164,-0.0104316250231528,1.28164500671608,0.258866264601833,12.7889530506197,0.03,ineq_disadvent,All,IR28,presentation,single,LOF2,LOF3,OFC - medial frontal area 11,ant cing cortex,OFC - medial frontal area 11-ant cing cortex,350
LOF2-LOF3,bin_8,0.00239275246437235,-0.00664010204343424,0.51087868113459,0.475541364212626,12.7889530506197,0.03,ineq_disadvent,All,IR28,presentation,single,LOF2,LOF3,OFC - medial frontal area 11,ant cing cortex,OFC - medial frontal area 11-ant cing cortex,400
LOF2-LOF3,bin_9,0.00172612711858488,-0.00566987422271992,0.368300810274991,0.544578265136301,12.7889530506197,0.03,ineq_disadvent,All,IR28,presentation,single,LOF2,LOF3,OFC - medial frontal area 11,ant cing cortex,OFC - medial frontal area 11-ant cing cortex,450
LOF2-LOF3,bin_10,0.00402082449596175,-0.00885793856689361,0.859893096867647,0.35481816088722,12.7889530506197,0.03,ineq_disadvent,All,IR28,presentation,single,LOF2,LOF3,OFC - medial frontal area 11,ant cing cortex,OFC - medial frontal area 11-ant cing cortex,500
LOF2-LOF3,bin_11,0.0103389552740614,-0.0147644100093009,2.22520375547864,0.137254293398772,12.7889530506197,0.03,ineq_disadvent,All,IR28,presentation,single,LOF2,LOF3,OFC - medial frontal area 11,ant cing cortex,OFC - medial frontal area 11-ant cing cortex,550
LOF2-LOF3,bin_12,0.0179914388647923,-0.0200929255448134,3.90238601766439,0.0495088518767464,12.7889530506197,0.03,ineq_disadvent,All,IR28,presentation,single,LOF2,LOF3,OFC - medial frontal area 11,ant cing cortex,OFC - medial frontal area 11-ant cing cortex,600
LOF2-LOF3,bin_13,0.0213867436618531,-0.0222370772080765,4.65493019890246,0.0320837284035102,12.7889530506197,0.03,ineq_disadvent,All,IR28,presentation,single,LOF2,LOF3,OFC - medial frontal area 11,ant cing cortex,OFC - medial frontal area 11-ant cing cortex,650
LOF2-LOF3,bin_14,0.0194798368033543,-0.0211152059722847,4.23163683405288,0.0408954369693351,12.7889530506197,0.03,ineq_disadvent,All,IR28,presentation,single,LOF2,LOF3,OFC - medial frontal area 11,ant cing cortex,OFC - medial frontal area 11-ant cing cortex,700
LOF2-LOF3,bin_15,0.0148235943324826,-0.0181121031730861,3.20493423782256,0.07483675074913,12.7889530506197,0.03,ineq_disadvent,All,IR28,presentation,single,LOF2,LOF3,OFC - medial frontal area 11,ant cing cortex,OFC - medial frontal area 11-ant cing cortex,750
