Var1,index
ROF1-ROF2,1
ROF2-ROF3,2
ROF3-ROF4,3
ROF4-ROF5,4
ROF5-ROF6,5
ROF6-ROF7,6
ROF7-ROF8,7
ROF8-ROF9,8
RAC1-RAC2,9
RAC2-RAC3,10
RAC3-RAC4,11
RAC4-RAC5,12
RAC5-RAC6,13
RAC6-RAC7,14
RAC7-RAC8,15
RAC8-RAC9,16
RAC9-RAC10,17
RIN1-RIN2,18
RIN2-RIN3,19
RIN3-RIN4,20
RIN4-RIN5,21
RIN5-RIN6,22
RIN6-RIN7,23
RIN7-RIN8,24
RAM4-RAM5,25
RAM5-RAM6,26
RAM6-RAM7,27
RAM7-RAM8,28
RAM8-RAM9,29
RAM9-RAM10,30
RHH4-RHH5,31
RHH5-RHH6,32
RHH6-RHH7,33
RHH7-RHH8,34
RHH8-RHH9,35
RHH9-RHH10,36
RTH5-RTH6,37
RTH6-RTH7,38
RTH7-RTH8,39
RTH8-RTH9,40
LOF2-LOF3,41
LOF3-LOF4,42
LOF4-LOF5,43
LOF5-LOF6,44
LOF6-LOF7,45
LOF7-LOF8,46
LOF8-LOF9,47
LIN1-LIN2,48
LIN2-LIN3,49
LIN3-LIN4,50
LIN4-LIN5,51
LIN5-LIN6,52
LIN6-LIN7,53
LIN7-LIN8,54
LIN8-LIN9,55
LAM3-LAM4,56
LAM4-LAM5,57
LAM5-LAM6,58
LAM6-LAM7,59
LAM7-LAM8,60
LAM8-LAM9,61
LAM9-LAM10,62
LHH4-LHH5,63
LHH5-LHH6,64
LHH6-LHH7,65
LHH7-LHH8,66
LTH4-LTH5,67
LTH5-LTH6,68
LTH6-LTH7,69
LTH7-LTH8,70
LTH8-LTH9,71
