"","x"
"1",0.0954454475
"2",0.2118248915
"3",0.0394919982
"4",0.29253809165
"5",0.1338438408
"6",-0.0068967655
"7",0.1276793565
"8",0.0622441465
"9",-0.159977354
"10",-0.0119705305
"11",0.11344999885
"12",0.081470285
"13",0.11409306835
"14",-0.059120511015
"15",0.0532325285
"16",-0.016703237
"17",0.0286152805
"18",0.13718523
"19",0.1202375573
"20",2.293756023
"21",-0.1815565965
"22",0.141813863
"23",-0.00444245725
"24",0.16119044225
"25",0.0713734819
"26",0.1820019939
"27",0.0792052555
"28",0.02474783
"29",0.0579924305
"30",0.03932656165
"31",-0.10288498695
"32",0.0910592351
"33",0.174321921
"34",-0.144368319
"35",0.0749733255
"36",0.178925787
"37",-0.0657955905
"38",0.00810816585
"39",0.0390413835
"40",-0.145202916
"41",-0.04510730995
"42",0.1271433305
"43",0.038345449195
"44",0.00378500785
"45",0.0263227513
"46",0.004838366375
"47",0.25916962825
"48",-0.01766429165
"49",0.000657748
"50",0.1092582378
"51",0.077480022
"52",-0.050451787
"53",-0.06799476305
"54",0.0750958985
"55",-0.0076523265
"56",-0.09421452565
"57",0.2483218645
"58",0.0882947305
"59",0.07826143095
"60",-0.0369829325
"61",-0.017560054005
"62",0.0090492808
"63",0.015325398
"64",0.05772304475
"65",-0.130437113
"66",0.1355541515
"67",0.134129457
"68",0.004025498
"69",0.2086215105
"70",-0.042982218
"71",0.2441701194
"72",0.003702017
"73",-0.0624580456
"74",-0.19941755
"75",-0.12623555835
"76",0.25766540105
"77",0.13295871515
"78",-0.08643201715
"79",0.1677277171
"80",-0.0578138488
"81",0.557211569
"82",0.0720725215
"83",0.0645527142
"84",0.089771978
"85",-0.20715636
"86",0.23370272945
"87",-0.086985489
"88",0.1639912422
"89",0.0873233335
"90",-0.0367060285
"91",-0.07600033335
"92",-0.0011436455
"93",-0.0298804675
"94",-0.1456077955
"95",0.0068445175
"96",-0.00413106097
"97",-0.1118723656
"98",0.0005690285
"99",0.0492903745
"100",-0.0062194545
"101",0.0564797515
"102",0.0511898751
"103",0.086098531
"104",-0.0142368475
"105",0.0491959395
"106",0.0046969305
"107",0.003501085
"108",0.260420231
"109",-0.06400717884
"110",-0.0144703305
"111",0.0968345515
"112",0.01528001795
"113",0.1192458987
"114",-0.0653363115
"115",0.1787151923
"116",0.0464948
"117",0.0365723307
"118",-0.059887511
"119",0.4549552655
"120",-0.04067185505
"121",-0.0678301127115
"122",0.180003943
"123",-0.0449548356
"124",-0.021507003
"125",-0.04453351495
"126",0.022072279
"127",0.08265314055
"128",-0.057595445615
"129",0.093842470945
"130",0.23808890895
"131",0.04957602745
"132",-0.180056136305
"133",-0.0213168485
"134",0.185219245
"135",-0.09072047695
"136",0.009094448
"137",-0.0477629992
"138",-0.0111866847
"139",0.1199065335
"140",0.2483213175
"141",0.0594603681
"142",0.065333131
"143",0.0253771245
"144",-0.0776259875
"145",0.0317222098
"146",-0.13941882017
"147",0.095726324
"148",-0.159941445
"149",0.177100803
