"","electrode","bin","R2","absBeta","Fstat","p","fstretch","perm_p"
"1","LPC1-LPC2","pre_15",0.00156792021610124,0.00158748853183612,0.354906433811277,0.551944904895072,6.02074293170205,0.3426
"2","LPC1-LPC2","pre_14",0.000387693614701025,0.00075245334905181,0.0876527393297808,0.76745455744553,6.02074293170205,0.3426
"3","LPC1-LPC2","pre_13",0.000427170251386768,0.000743569199356641,0.0965817336568552,0.756257337971042,6.02074293170205,0.3426
"4","LPC1-LPC2","pre_12",0.000433932617645685,0.000770039734103906,0.0981113453008119,0.754396850880443,6.02074293170205,0.3426
"5","LPC1-LPC2","pre_11",0.000709971181759517,0.000968722099295405,0.160567485364988,0.689013138343575,6.02074293170205,0.3426
"6","LPC1-LPC2","pre_10",0.000586868714534635,0.000898470703174226,0.132710212956911,0.715978992254736,6.02074293170205,0.3426
"7","LPC1-LPC2","pre_9",2.67206779539635e-05,0.000200473666863101,0.00603903458469403,0.938126521272284,6.02074293170205,0.3426
"8","LPC1-LPC2","pre_8",9.36278378638568e-06,0.000125943048944599,0.00211600894745743,0.96335079305304,6.02074293170205,0.3426
"9","LPC1-LPC2","pre_7",0.0110176707068431,0.00394976531728207,2.51773313434849,0.113970421485292,6.02074293170205,0.3426
"10","LPC1-LPC2","pre_6",0.025949158060727,0.00597855263804707,6.02074293170205,0.0148950501951223,6.02074293170205,0.3426
"11","LPC1-LPC2","pre_5",0.0147338768499787,0.00485592336307578,3.37965153764671,0.0673183555488195,6.02074293170205,0.3426
"12","LPC1-LPC2","pre_4",0.00749505378336131,0.00350495629879251,1.70667376671181,0.192745444666241,6.02074293170205,0.3426
"13","LPC1-LPC2","pre_3",0.00222080548342073,0.00191610625767074,0.503019146932859,0.478907552569292,6.02074293170205,0.3426
"14","LPC1-LPC2","pre_2",0.000484432892553737,0.000852013749094353,0.109534896023661,0.74098092083763,6.02074293170205,0.3426
"15","LPC1-LPC2","pre_1",0.00193352238408225,0.00170494605307755,0.437822598597234,0.508849338283393,6.02074293170205,0.3426
"16","LPC1-LPC2","post_1",0.00123737934024679,0.00136375618623342,0.279994189921773,0.597224359862953,6.02074293170205,0.3426
"17","LPC1-LPC2","post_2",0.00219975386349346,0.00176743372205017,0.498240379348943,0.481001271375682,6.02074293170205,0.3426
"18","LPC1-LPC2","post_3",0.000959222297817233,0.00110277979647863,0.216992383239154,0.641789803372943,6.02074293170205,0.3426
"19","LPC1-LPC2","post_4",0.0039916066784171,0.00233965894094682,0.90571838086007,0.342269705343514,6.02074293170205,0.3426
"20","LPC1-LPC2","post_5",0.00301034473582793,0.00200191402979173,0.682392145901297,0.409635417794771,6.02074293170205,0.3426
"21","LPC1-LPC2","post_6",0.00237705553209675,0.00172469100895158,0.538494581778487,0.463817875034166,6.02074293170205,0.3426
"22","LPC1-LPC2","post_7",0.00331467290492831,0.00209471545897805,0.75160740922831,0.386887314419661,6.02074293170205,0.3426
"23","LPC1-LPC2","post_8",0.00329387046475169,0.00207904302761712,0.746874833990431,0.38838379828983,6.02074293170205,0.3426
"24","LPC1-LPC2","post_9",8.40876580226601e-06,0.000106774262113994,0.00190039705130585,0.965266889603959,6.02074293170205,0.3426
"25","LPC1-LPC2","post_10",0.0045628573908249,0.00274675145888584,1.03593258296902,0.309857675251434,6.02074293170205,0.3426
"26","LPC1-LPC2","post_11",0.00369603323580187,0.00248181244619943,0.838402273960753,0.360830077765897,6.02074293170205,0.3426
"27","LPC1-LPC2","post_12",0.0012178356683186,0.00137939912141007,0.275566455698746,0.600136523069297,6.02074293170205,0.3426
"28","LPC1-LPC2","post_13",0.00119536147988095,0.00135586348726156,0.270475009861152,0.603522364251085,6.02074293170205,0.3426
"29","LPC1-LPC2","post_14",0.0112357464746855,0.00419826586967063,2.56813360133667,0.11043301212997,6.02074293170205,0.3426
"30","LPC1-LPC2","post_15",0.0011388168283167,0.00127272879791319,0.257666037619301,0.612223180923101,6.02074293170205,0.3426
"31","LPC1-LPC2","post_16",8.95308186334197e-06,0.000106352071900203,0.00202341461691199,0.964161072644805,6.02074293170205,0.3426
"32","LPC1-LPC2","post_17",0.000844287064184182,0.00103401339393058,0.190970110099228,0.662527683964518,6.02074293170205,0.3426
"33","LPC1-LPC2","post_18",0.000262690799382712,0.00058389856438593,0.0593837202174272,0.807693720920597,6.02074293170205,0.3426
"34","LPC1-LPC2","post_19",0.000376953801949905,0.000683991117854462,0.085223684632617,0.770607210346236,6.02074293170205,0.3426
"35","LPC1-LPC2","post_20",0.0036033553632518,0.00220867333166572,0.817303346491891,0.366932436142042,6.02074293170205,0.3426
"36","LPC1-LPC2","post_21",0.00332526420204295,0.00197602594951744,0.754017015450916,0.386128542796196,6.02074293170205,0.3426
"37","LPC1-LPC2","post_22",0.0012170229167432,0.00120693312487238,0.275382325785311,0.600258272459499,6.02074293170205,0.3426
"38","LPC1-LPC2","post_23",0.00368412134707092,0.00207954617191782,0.835690208574978,0.361606550226412,6.02074293170205,0.3426
"39","LPC1-LPC2","post_24",0.00343942014925022,0.0020286838406105,0.779991672806246,0.378082161912027,6.02074293170205,0.3426
"40","LPC1-LPC2","post_25",0.00423047828396778,0.00242457970404394,0.960149985841172,0.328196852624294,6.02074293170205,0.3426
"41","LPC1-LPC2","post_26",0.000335594907061112,0.000717143624069951,0.0758699105513914,0.783226100210929,6.02074293170205,0.3426
"42","LPC1-LPC2","post_27",0.00650246856867257,0.00290042049830963,1.47917619322397,0.225172198850193,6.02074293170205,0.3426
"43","LPC1-LPC2","post_28",0.000418839055778534,0.000680556394570098,0.0946972895292799,0.758571770527932,6.02074293170205,0.3426
"44","LPC1-LPC2","post_29",0.000136289325996926,0.000418677345895987,0.0308055861478784,0.860831981220226,6.02074293170205,0.3426
"45","LPC1-LPC2","post_30",0.00306511357811997,0.00227769570365365,0.694845448875155,0.405401260402256,6.02074293170205,0.3426
"46","LPC1-LPC2","post_31",0.0041213526582439,0.00260709267655477,0.935280320799451,0.334528352800994,6.02074293170205,0.3426
