"","X","electrode","bin","R2","absBeta","Fstat","p","fstretch","perm_p","predictor","region","anova_p","diff_adj_r2","perct_adj_r2","correction"
"1",1,"LAC1-LAC2","pre_13",0.00449833682175693,0.00163536958468245,1.02121790381684,0.313310992624238,2.62196327471369,0.9754,"ineq_disadvent","Cingulate",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"2",2,"LAC1-LAC2","pre_12",0.0109575425784135,0.00270574172854052,2.50384056229233,0.114967446614113,2.62196327471369,0.9754,"ineq_disadvent","Cingulate",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"3",3,"LAC1-LAC2","pre_11",0.00031293857323268,0.000443441254778763,0.0707462567832449,0.790495803811416,2.62196327471369,0.9754,"ineq_disadvent","Cingulate",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"4",4,"LAC1-LAC2","pre_10",1.99568393526379e-05,0.000101943200248933,0.00451033570574127,0.946514474132329,2.62196327471369,0.9754,"ineq_disadvent","Cingulate",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"5",5,"LAC1-LAC2","pre_9",0.000595383049742654,0.000559338297941975,0.134636729668557,0.714015468023573,2.62196327471369,0.9754,"ineq_disadvent","Cingulate",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"6",6,"LAC1-LAC2","pre_8",0.000165737516346089,0.000320779306211804,0.0374628877001787,0.846699496904551,2.62196327471369,0.9754,"ineq_disadvent","Cingulate",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"7",7,"LAC1-LAC2","pre_7",0.00095925044196881,0.000757737174421906,0.216998756037587,0.641784914276277,2.62196327471369,0.9754,"ineq_disadvent","Cingulate",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"8",8,"LAC1-LAC2","pre_6",0.00333662396527245,0.00147350691145284,0.756601510884953,0.385317060751813,2.62196327471369,0.9754,"ineq_disadvent","Cingulate",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"9",9,"LAC1-LAC2","pre_5",0.00228316302134695,0.00113018543970301,0.517175639119189,0.472791901481707,2.62196327471369,0.9754,"ineq_disadvent","Cingulate",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"10",10,"LAC1-LAC2","pre_4",0.000575729994074738,0.000610074845544612,0.130189932910194,0.718572225070908,2.62196327471369,0.9754,"ineq_disadvent","Cingulate",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"11",11,"LAC1-LAC2","pre_3",0.00252527280293822,0.00121867876487517,0.572156504724443,0.45019101135298,2.62196327471369,0.9754,"ineq_disadvent","Cingulate",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"12",12,"LAC1-LAC2","pre_2",0.00110098118714758,0.000750347179631289,0.24909599830328,0.618197802976448,2.62196327471369,0.9754,"ineq_disadvent","Cingulate",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"13",13,"LAC1-LAC2","pre_1",0.000414611762517699,0.000527580741295737,0.0937411245018501,0.759755762039807,2.62196327471369,0.9754,"ineq_disadvent","Cingulate",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"14",14,"LAC1-LAC2","post_1",4.54352223321484e-06,5.61274661017461e-05,0.00102684069018006,0.974464960445362,2.62196327471369,0.9754,"ineq_disadvent","Cingulate",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"15",15,"LAC1-LAC2","post_2",0.00223260547439691,0.00113379447548445,0.50569786102662,0.477740461375843,2.62196327471369,0.9754,"ineq_disadvent","Cingulate",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"16",16,"LAC1-LAC2","post_3",0.000331168464583866,0.000434652722334509,0.0748688672037508,0.784625209462213,2.62196327471369,0.9754,"ineq_disadvent","Cingulate",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"17",17,"LAC1-LAC2","post_4",0.00823005640286036,0.00214508033252123,1.87542762215627,0.172213992341872,2.62196327471369,0.9754,"ineq_disadvent","Cingulate",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
"18",18,"LAC1-LAC2","post_5",0.0114685537520432,0.00260329793171355,2.62196327471369,0.106788566584579,2.62196327471369,0.9754,"ineq_disadvent","Cingulate",0.0938155952650876,0.00789061805547631,-1.00427392756649,17
