"","electrode","bin","R2","absBeta","Fstat","p","fstretch","perm_p"
"1","LAC2-LAC3","pre_13",0.00124426218901852,0.000883091314449497,0.281553581193447,0.596205754722708,3.76508958160536,0.834
"2","LAC2-LAC3","pre_12",0.00265089651808875,0.00115756304692647,0.600694993354373,0.439123141443368,3.76508958160536,0.834
"3","LAC2-LAC3","pre_11",0.000822292156501334,0.000667801983205997,0.185990966282055,0.666685543885648,3.76508958160536,0.834
"4","LAC2-LAC3","pre_10",6.32600488733614e-05,0.000211930481457558,0.0142976755170317,0.904927721559481,3.76508958160536,0.834
"5","LAC2-LAC3","pre_9",0.000330985325775414,0.000504368386975048,0.0748274504132955,0.784683311752622,3.76508958160536,0.834
"6","LAC2-LAC3","pre_8",0.000711001161233176,0.000703097646759044,0.160800591846227,0.6887993600373,3.76508958160536,0.834
"7","LAC2-LAC3","pre_7",0.011546843021701,0.00276569414244075,2.64007100840461,0.105592642411816,3.76508958160536,0.834
"8","LAC2-LAC3","pre_6",0.00313418170566841,0.00146232348333245,0.710552064763367,0.400151828779422,3.76508958160536,0.834
"9","LAC2-LAC3","pre_5",0.000159351027980506,0.0003315842035522,0.0360190719997444,0.849646459881199,3.76508958160536,0.834
"10","LAC2-LAC3","pre_4",0.00212684032181195,0.00115725110550313,0.481690391276297,0.488370409895311,3.76508958160536,0.834
"11","LAC2-LAC3","pre_3",0.00843649528968081,0.00239301514720296,1.92287022103025,0.166906871564785,3.76508958160536,0.834
"12","LAC2-LAC3","pre_2",7.50155900416722e-05,0.000236902298960157,0.0169547952233856,0.896515646613978,3.76508958160536,0.834
"13","LAC2-LAC3","pre_1",0.000741503951955782,0.000733175746026693,0.167704246503549,0.682548095287441,3.76508958160536,0.834
"14","LAC2-LAC3","post_1",0.000364710593324785,0.000485861244268673,0.082454666181627,0.774261181092055,3.76508958160536,0.834
"15","LAC2-LAC3","post_2",0.000284302277096938,0.0004306704148675,0.0642705868981135,0.800099629520565,3.76508958160536,0.834
"16","LAC2-LAC3","post_3",0.0163866912439199,0.00319120858647202,3.76508958160536,0.0535769836147353,3.76508958160536,0.834
"17","LAC2-LAC3","post_4",0.000886848837642531,0.000636784522842804,0.20060574427835,0.654661389955165,3.76508958160536,0.834
"18","LAC2-LAC3","post_5",0.00329105643600445,0.00141404499669683,0.746234654900787,0.388586865153147,3.76508958160536,0.834
"19","LAC2-LAC3","post_6",0.00227676296162963,0.00113432606006568,0.515722607459436,0.473413740398415,3.76508958160536,0.834
"20","LAC2-LAC3","post_7",0.00510343676405672,0.00165960975774976,1.1592930876406,0.28276019185795,3.76508958160536,0.834
"21","LAC2-LAC3","post_8",0.00369401521968382,0.00142396102870918,0.837942813153557,0.360961460224801,3.76508958160536,0.834
"22","LAC2-LAC3","post_9",0.000239798099095933,0.000370047324383651,0.0542073692197768,0.816108204336448,3.76508958160536,0.834
"23","LAC2-LAC3","post_10",0.000251687276019201,0.000385713469927934,0.0568956442900681,0.811687680891742,3.76508958160536,0.834
"24","LAC2-LAC3","post_11",0.000512457488123251,0.000527000341773342,0.115874773211071,0.733868623555539,3.76508958160536,0.834
"25","LAC2-LAC3","post_12",0.0114395698467656,0.00236127264947696,2.61526023752366,0.107235054095087,3.76508958160536,0.834
"26","LAC2-LAC3","post_13",0.00258996913745035,0.00120789200881436,0.586852956108322,0.444438018231976,3.76508958160536,0.834
"27","LAC2-LAC3","post_14",0.000629167729912644,0.000581248412130228,0.142281425841963,0.706377376505208,3.76508958160536,0.834
"28","LAC2-LAC3","post_15",0.000339072731618793,0.00039311972461494,0.0766564294507773,0.782133774635144,3.76508958160536,0.834
"29","LAC2-LAC3","post_16",1.55690021344197e-05,9.47632283018048e-05,0.00351864926423677,0.952751080168262,3.76508958160536,0.834
"30","LAC2-LAC3","post_17",0.00118798502978747,0.000850345927403874,0.268803951802659,0.604642458553142,3.76508958160536,0.834
"31","LAC2-LAC3","post_18",4.17061870422831e-05,0.000151348849767002,0.0094259913937161,0.922742915602043,3.76508958160536,0.834
"32","LAC2-LAC3","post_19",0.00111337604259589,0.0007295316551671,0.251903448891714,0.616226586041836,3.76508958160536,0.834
"33","LAC2-LAC3","post_20",0.002195029285656,0.00105294486197153,0.49716791669529,0.481473217423474,3.76508958160536,0.834
