"","electrode","bin","R2","absBeta","Fstat","p","fstretch","perm_p"
"1","LPC1-LPC2","pre_13",0.000861665242366097,0.00185927040007129,0.194904287024455,0.659287879564226,11.0238493494004,0.0485
"2","LPC1-LPC2","pre_12",0.00731918284826734,0.00514865712346024,1.66633150870647,0.198069542865066,11.0238493494004,0.0485
"3","LPC1-LPC2","pre_11",0.00788761854993301,0.00503212518504329,1.79677406069605,0.181448902923673,11.0238493494004,0.0485
"4","LPC1-LPC2","pre_10",0.00880553388457675,0.00550706944422131,2.0077297906167,0.157876363214698,11.0238493494004,0.0485
"5","LPC1-LPC2","pre_9",0.0208986356040405,0.00841762759308189,4.82390467245133,0.0290843532028498,11.0238493494004,0.0485
"6","LPC1-LPC2","pre_8",0.00577673217138504,0.00451604661140118,1.31312705403116,0.253041168890056,11.0238493494004,0.0485
"7","LPC1-LPC2","pre_7",0.00324494514669146,0.00349768678659843,0.735745055499315,0.391936022061799,11.0238493494004,0.0485
"8","LPC1-LPC2","pre_6",0.00316505378083527,0.00364962674914777,0.717573312594826,0.397837203791736,11.0238493494004,0.0485
"9","LPC1-LPC2","pre_5",0.00287910214125483,0.00319949316446678,0.652555858894222,0.420049802803819,11.0238493494004,0.0485
"10","LPC1-LPC2","pre_4",0.0120324783627999,0.00645671442875912,2.75245901351743,0.0984920602240535,11.0238493494004,0.0485
"11","LPC1-LPC2","pre_3",0.0274580006128293,0.0104572437966656,6.38070966848704,0.012221683581641,11.0238493494004,0.0485
"12","LPC1-LPC2","pre_2",0.0195145417572005,0.00895929388640361,4.4980640967703,0.0350228589352401,11.0238493494004,0.0485
"13","LPC1-LPC2","pre_1",0.00488797600466521,0.0044731791922989,1.11010876204579,0.293183444698372,11.0238493494004,0.0485
"14","LPC1-LPC2","post_1",2.28905618360111e-05,0.000290688752501897,0.00517338539663684,0.942724211194015,11.0238493494004,0.0485
"15","LPC1-LPC2","post_2",0.00266884909917699,0.00318322692104184,0.604773946817168,0.437575643517659,11.0238493494004,0.0485
"16","LPC1-LPC2","post_3",0.00146138554358144,0.00234656109005505,0.330756495610536,0.56578608701583,11.0238493494004,0.0485
"17","LPC1-LPC2","post_4",0.00118763048254667,0.00204941468653671,0.268723633433994,0.604696406438924,11.0238493494004,0.0485
"18","LPC1-LPC2","post_5",0.0181825687665454,0.00758265073192324,4.18536115831311,0.0419324818926129,11.0238493494004,0.0485
"19","LPC1-LPC2","post_6",0.029370093596704,0.00998913700098989,6.83848819108728,0.0095219278183919,11.0238493494004,0.0485
"20","LPC1-LPC2","post_7",0.00257095999462468,0.00290567254503448,0.582534632019584,0.446116513048818,11.0238493494004,0.0485
"21","LPC1-LPC2","post_8",8.33033026054822e-05,0.00051226949409885,0.0188281148329864,0.890982561815772,11.0238493494004,0.0485
"22","LPC1-LPC2","post_9",0.00274286759368125,0.00303622402644014,0.62159302353267,0.431282130909719,11.0238493494004,0.0485
"23","LPC1-LPC2","post_10",0.00454604906855207,0.0038832253737461,1.03209906247438,0.310752527627514,11.0238493494004,0.0485
"24","LPC1-LPC2","post_11",0.00262798109894853,0.00302007563953039,0.595488661308926,0.441110621588244,11.0238493494004,0.0485
"25","LPC1-LPC2","post_12",2.55885485145607e-06,0.00010371115760894,0.00057830267622168,0.980835600862099,11.0238493494004,0.0485
"26","LPC1-LPC2","post_13",7.98524594036954e-05,0.000579123217640526,0.018048097010169,0.89325075105986,11.0238493494004,0.0485
"27","LPC1-LPC2","post_14",0.000102978611220984,0.000638293395334495,0.0232755630210977,0.87887877967355,11.0238493494004,0.0485
"28","LPC1-LPC2","post_15",1.24571770116131e-06,6.95256064670626e-05,0.000281532551172537,0.986627780741311,11.0238493494004,0.0485
"29","LPC1-LPC2","post_16",0.00539008471711254,0.00462367959256337,1.22476071005281,0.269604952705215,11.0238493494004,0.0485
"30","LPC1-LPC2","post_17",0.0163531151099456,0.00774172286128643,3.75724670267299,0.0538245288321898,11.0238493494004,0.0485
"31","LPC1-LPC2","post_18",0.0049459279529542,0.00402985904095131,1.1233356545822,0.290332737052877,11.0238493494004,0.0485
"32","LPC1-LPC2","post_19",5.11695681698095e-05,0.000405500566356355,0.0115649141780414,0.914455770426148,11.0238493494004,0.0485
"33","LPC1-LPC2","post_20",0.00382569531115194,0.00352010873294628,0.867927566742846,0.352523826533458,11.0238493494004,0.0485
