"","electrode","bin","R2","absBeta","Fstat","p","fstretch","perm_p"
"1","RIN1-RIN2","pre_13",0.00024817913747218,0.000398978620086959,0.0561024085160683,0.812980366426604,9.02277441081311,0.1005
"2","RIN1-RIN2","pre_12",0.00227804066792989,0.0012342488837672,0.516012688842506,0.473289491172487,9.02277441081311,0.1005
"3","RIN1-RIN2","pre_11",0.00389812855787608,0.00159288390621697,0.884424655085272,0.347996742877086,9.02277441081311,0.1005
"4","RIN1-RIN2","pre_10",0.000274099142579081,0.000395515359142999,0.0619633903350345,0.803645277694732,9.02277441081311,0.1005
"5","RIN1-RIN2","pre_9",8.82921886770725e-05,0.00024549726566967,0.0199557965819754,0.887786445690554,9.02277441081311,0.1005
"6","RIN1-RIN2","pre_8",0.00122077958865402,0.000934943670673702,0.27623340714095,0.599695959208947,9.02277441081311,0.1005
"7","RIN1-RIN2","pre_7",0.000542958508234477,0.000581392011656918,0.122775284746446,0.726370104016437,9.02277441081311,0.1005
"8","RIN1-RIN2","pre_6",0.000905433420795932,0.000760785885041538,0.204813397995453,0.651297463736813,9.02277441081311,0.1005
"9","RIN1-RIN2","pre_5",5.21924246469582e-06,5.37868533368831e-05,0.00117955495340456,0.972632634759824,9.02277441081311,0.1005
"10","RIN1-RIN2","pre_4",0.00750057160038781,0.00208477737944276,1.70793970573969,0.192581117705758,9.02277441081311,0.1005
"11","RIN1-RIN2","pre_3",0.00862658760604988,0.00226935325303409,1.96657361857163,0.162184116296307,9.02277441081311,0.1005
"12","RIN1-RIN2","pre_2",0.0207292598005313,0.00371791097239043,4.78398110206563,0.0297512720428818,9.02277441081311,0.1005
"13","RIN1-RIN2","pre_1",0.0346195001616429,0.00490745671694726,8.10458367228399,0.00482176841241386,9.02277441081311,0.1005
"14","RIN1-RIN2","post_1",0.0044706661512759,0.00179608122400081,1.0149078644245,0.314807319169977,9.02277441081311,0.1005
"15","RIN1-RIN2","post_2",6.38476466021782e-05,0.000232572432147435,0.0144304894848852,0.9044892889907,9.02277441081311,0.1005
"16","RIN1-RIN2","post_3",9.4927728428353e-05,0.000270547282987631,0.0214557033659902,0.883674902988727,9.02277441081311,0.1005
"17","RIN1-RIN2","post_4",0.00147085365952033,0.00108354538087858,0.332902578026748,0.564529195991256,9.02277441081311,0.1005
"18","RIN1-RIN2","post_5",0.0013831603533976,0.00100806449316461,0.313027206689685,0.576382532532995,9.02277441081311,0.1005
"19","RIN1-RIN2","post_6",0.00147331586935181,0.00101605471669568,0.333460679384251,0.564203219583943,9.02277441081311,0.1005
"20","RIN1-RIN2","post_7",0.0194094024171848,0.00359945125513803,4.47334999651911,0.0355225220544982,9.02277441081311,0.1005
"21","RIN1-RIN2","post_8",0.0225992660826194,0.0040190539039545,5.22552721461709,0.0231843953499915,9.02277441081311,0.1005
"22","RIN1-RIN2","post_9",0.00296850444830694,0.00145294277241693,0.672879450960721,0.41291382315419,9.02277441081311,0.1005
"23","RIN1-RIN2","post_10",0.000124665122361069,0.000281403202744067,0.028177830446282,0.866841541599159,9.02277441081311,0.1005
"24","RIN1-RIN2","post_11",0.00150330554207834,0.000959628757508699,0.340258565096353,0.560261652548177,9.02277441081311,0.1005
"25","RIN1-RIN2","post_12",0.00110735597915786,0.000853879567302186,0.250539888132817,0.617182267222255,9.02277441081311,0.1005
"26","RIN1-RIN2","post_13",0.0219436030687583,0.0037874260769277,5.07051976665107,0.025297365781776,9.02277441081311,0.1005
"27","RIN1-RIN2","post_14",0.0171872837266933,0.00310451757672678,3.95225464416204,0.0480153688760135,9.02277441081311,0.1005
"28","RIN1-RIN2","post_15",0.00717480801436928,0.00222075508502575,1.63322468480526,0.202568666500412,9.02277441081311,0.1005
"29","RIN1-RIN2","post_16",0.00395357880347446,0.00167364781310808,0.897055388755755,0.344584090176694,9.02277441081311,0.1005
"30","RIN1-RIN2","post_17",0.00309270548643586,0.00148413578479655,0.701119796977265,0.403292259799344,9.02277441081311,0.1005
"31","RIN1-RIN2","post_18",0.00383431335243741,0.00173560401422216,0.869890249449473,0.351981026214035,9.02277441081311,0.1005
"32","RIN1-RIN2","post_19",0.00430858951541357,0.00179537216984042,0.977954836438294,0.323761817778399,9.02277441081311,0.1005
"33","RIN1-RIN2","post_20",0.00342653839628954,0.00145644591709965,0.777060304531144,0.378978254343571,9.02277441081311,0.1005
