"","electrode","bin","R2","absBeta","Fstat","p","fstretch","perm_p"
"1","RIN1-RIN2","pre_13",0.00655243507989842,0.00236273159556843,1.49061750247095,0.223392892329468,3.68489553335464,0.852
"2","RIN1-RIN2","pre_12",0.00186885363239222,0.00128841475049265,0.423151729567497,0.516029318755307,3.68489553335464,0.852
"3","RIN1-RIN2","pre_11",0.00285158866579155,0.00157016583167155,0.646302026000913,0.422282704081793,3.68489553335464,0.852
"4","RIN1-RIN2","pre_10",0.01038954461589,0.00280642737493593,2.37268823345219,0.124873225778058,3.68489553335464,0.852
"5","RIN1-RIN2","pre_9",0.0160432645115731,0.00381397574677831,3.68489553335464,0.0561665758079317,3.68489553335464,0.852
"6","RIN1-RIN2","pre_8",0.0159761532063807,0.00389806396723541,3.6692308183455,0.0566878434896806,3.68489553335464,0.852
"7","RIN1-RIN2","pre_7",0.00360573089218138,0.00172674589086818,0.817844107396019,0.366774248036345,3.68489553335464,0.852
"8","RIN1-RIN2","pre_6",0.00160331755376304,0.00116678274202507,0.362931661854714,0.547486531414401,3.68489553335464,0.852
"9","RIN1-RIN2","pre_5",0.000246651516658225,0.000426147881204558,0.055756995312217,0.813546280720164,3.68489553335464,0.852
"10","RIN1-RIN2","pre_4",0.00477483826501949,0.00191706957793091,1.08429076091,0.298852313093809,3.68489553335464,0.852
"11","RIN1-RIN2","pre_3",0.00173379608196325,0.00117253990397229,0.392518461494331,0.531610863824386,3.68489553335464,0.852
"12","RIN1-RIN2","pre_2",0.00999322213059579,0.00297512965184439,2.28126539332903,0.132341873041903,3.68489553335464,0.852
"13","RIN1-RIN2","pre_1",0.0155537572539163,0.00379105230712937,3.5706867340767,0.0600880091410039,3.68489553335464,0.852
"14","RIN1-RIN2","post_1",0.000131771434978028,0.000355382900503385,0.0297842690209029,0.863135087223194,3.68489553335464,0.852
"15","RIN1-RIN2","post_2",0.000711289985291144,0.000894654131105608,0.160865959021425,0.68873944513426,3.68489553335464,0.852
"16","RIN1-RIN2","post_3",0.000134789762205014,0.000371553300221647,0.0304665928431377,0.861591999923596,3.68489553335464,0.852
"17","RIN1-RIN2","post_4",0.000630979322770597,0.000817929690659462,0.14269136224527,0.705974481460693,3.68489553335464,0.852
"18","RIN1-RIN2","post_5",4.28882165409758e-05,0.000204581841038548,0.00969315266029079,0.921659214249985,3.68489553335464,0.852
"19","RIN1-RIN2","post_6",0.000176716449551995,0.000405558668608056,0.0399449765331813,0.841767919834605,3.68489553335464,0.852
"20","RIN1-RIN2","post_7",2.89986087833914e-05,0.000160348474641899,0.0065538756383221,0.935548582146239,3.68489553335464,0.852
"21","RIN1-RIN2","post_8",0.000226402413845542,0.00046362113597702,0.0511785324723812,0.821229552725307,3.68489553335464,0.852
"22","RIN1-RIN2","post_9",5.70668986480105e-05,0.0002321762698222,0.0128978551350421,0.909680502442768,3.68489553335464,0.852
"23","RIN1-RIN2","post_10",0.00230025264577549,0.001393125875209,0.521055657600252,0.471137888164598,3.68489553335464,0.852
"24","RIN1-RIN2","post_11",0.00233055161587187,0.00137706685376544,0.527935045059382,0.468228190652835,3.68489553335464,0.852
"25","RIN1-RIN2","post_12",0.000190991036322496,0.000408700833604034,0.0431722197158679,0.835588443371495,3.68489553335464,0.852
"26","RIN1-RIN2","post_13",0.0015030025619983,0.00114239447249051,0.340189885280759,0.560301209817818,3.68489553335464,0.852
"27","RIN1-RIN2","post_14",0.00331091372239553,0.00157040065888468,0.750752176946159,0.387157135034265,3.68489553335464,0.852
"28","RIN1-RIN2","post_15",0.00352740405087969,0.00179460620338566,0.800015292682985,0.372040349837715,3.68489553335464,0.852
"29","RIN1-RIN2","post_16",0.00440387678235031,0.00203578772396785,0.999678614250279,0.318457596228791,3.68489553335464,0.852
"30","RIN1-RIN2","post_17",0.00485844536473903,0.00214387299121269,1.10336931195026,0.294649779000352,3.68489553335464,0.852
"31","RIN1-RIN2","post_18",0.000812863462109548,0.000921004354027528,0.183856592743267,0.668488100347301,3.68489553335464,0.852
"32","RIN1-RIN2","post_19",0.000296267857833172,0.000542594309116748,0.0669763788185749,0.796026693375983,3.68489553335464,0.852
"33","RIN1-RIN2","post_20",0.0113332444239252,0.00305273935661429,2.59067398125941,0.108890481474872,3.68489553335464,0.852
