"","electrode","bin","R2","absBeta","Fstat","p","fstretch","perm_p"
"1","LOF5-LOF6","pre_15",0.0061011656574333,0.00231829288391969,1.38732775503455,0.24009569845768,3.6788058139774,0.9335
"2","LOF5-LOF6","pre_14",0.00478303962163794,0.00217811543520532,1.08616211090214,0.29843669502913,3.6788058139774,0.9335
"3","LOF5-LOF6","pre_13",0.007108416821767,0.00245207220428057,1.61800364605464,0.204677674639076,3.6788058139774,0.9335
"4","LOF5-LOF6","pre_12",0.00183584295016364,0.00128873657183614,0.415663599826363,0.519762673061266,3.6788058139774,0.9335
"5","LOF5-LOF6","pre_11",0.000132667509700174,0.000343385868193631,0.029986835471025,0.86267509624409,3.6788058139774,0.9335
"6","LOF5-LOF6","pre_10",1.44128685254223e-05,0.000114516194680143,0.00325735523457817,0.954537276951084,3.6788058139774,0.9335
"7","LOF5-LOF6","pre_9",0.000291192949665106,0.000523605232140991,0.0658287754996246,0.797743227377748,3.6788058139774,0.9335
"8","LOF5-LOF6","pre_8",0.00193555967366404,0.00131167870609284,0.43828481265703,0.508625950934609,3.6788058139774,0.9335
"9","LOF5-LOF6","pre_7",0.000312161398160892,0.000504230283598158,0.0705705053719874,0.79075009889654,3.6788058139774,0.9335
"10","LOF5-LOF6","pre_6",0.00135699344854583,0.00101098709837263,0.307097248325402,0.580014837422635,3.6788058139774,0.9335
"11","LOF5-LOF6","pre_5",0.0036193661561294,0.00175978158528062,0.820948062920119,0.365868088117325,3.6788058139774,0.9335
"12","LOF5-LOF6","pre_4",0.0010017206839492,0.00093503466017294,0.226615880387214,0.634504393638632,3.6788058139774,0.9335
"13","LOF5-LOF6","pre_3",0.00963997514140303,0.00289505709939151,2.19984079251194,0.139418168254353,3.6788058139774,0.9335
"14","LOF5-LOF6","pre_2",0.0160171758162003,0.00382296849249451,3.6788058139774,0.0563686095620864,3.6788058139774,0.9335
"15","LOF5-LOF6","pre_1",0.00895017559095986,0.00290470463867863,2.0410070550823,0.15448885185558,3.6788058139774,0.9335
"16","LOF5-LOF6","post_1",0.00874691980090163,0.00272098448699453,1.99424739704891,0.159272942461803,3.6788058139774,0.9335
"17","LOF5-LOF6","post_2",0.00077765790195922,0.000815188322535837,0.175887466120668,0.675329938065249,3.6788058139774,0.9335
"18","LOF5-LOF6","post_3",0.00126796052649938,0.00104985812079592,0.286922885882307,0.5927259357565,3.6788058139774,0.9335
"19","LOF5-LOF6","post_4",0.00431993058448437,0.00195206407572925,0.98054017759598,0.323124463262686,3.6788058139774,0.9335
"20","LOF5-LOF6","post_5",0.00167165248603866,0.0011804878532047,0.378426058706555,0.539065713167023,3.6788058139774,0.9335
"21","LOF5-LOF6","post_6",0.000885497094374855,0.000860195665098436,0.200299708138278,0.654907707553876,3.6788058139774,0.9335
"22","LOF5-LOF6","post_7",0.00312150398510755,0.00157822451628096,0.707668891900511,0.401107972478471,3.6788058139774,0.9335
"23","LOF5-LOF6","post_8",6.99210345469502e-06,7.0364200219642e-05,0.00158022642986775,0.968325888943863,3.6788058139774,0.9335
"24","LOF5-LOF6","post_9",5.16062842004261e-05,0.00019718609464128,0.0116636221454955,0.914092898119659,3.6788058139774,0.9335
"25","LOF5-LOF6","post_10",0.000446861880902187,0.000616636338237004,0.101035934191486,0.750883497898688,3.6788058139774,0.9335
