"","electrode","bin","R2","absBeta","Fstat","p","fstretch","perm_p"
"1","LPC7-LPC8","pre_15",0.000666007665751725,0.00146945568979789,0.150618045232615,0.698310741083449,3.46293151208708,0.9511
"2","LPC7-LPC8","pre_14",0.0108856910311357,0.00594360483162309,2.48724151569635,0.116171425360571,3.46293151208708,0.9511
"3","LPC7-LPC8","pre_13",0.01266528752736,0.00711828484378271,2.89907256883027,0.0900054163104244,3.46293151208708,0.9511
"4","LPC7-LPC8","pre_12",0.0135343894813352,0.0077162947929476,3.10073862703993,0.0796092094459655,3.46293151208708,0.9511
"5","LPC7-LPC8","pre_11",0.0145574964266745,0.00748016205149112,3.33859578869245,0.0689911562376946,3.46293151208708,0.9511
"6","LPC7-LPC8","pre_10",0.00633032223950086,0.00505047446416603,1.43976701528375,0.231433385760484,3.46293151208708,0.9511
"7","LPC7-LPC8","pre_9",0.00576764536405699,0.0046736205471087,1.31104952096854,0.253415836918981,3.46293151208708,0.9511
"8","LPC7-LPC8","pre_8",2.47546281457808e-05,0.000293919574891357,0.00559468445527975,0.940441897331376,3.46293151208708,0.9511
"9","LPC7-LPC8","pre_7",9.23095660617584e-05,0.000594964986156135,0.0208638878663927,0.885279094142942,3.46293151208708,0.9511
"10","LPC7-LPC8","pre_6",0.0043998660563711,0.00395037174934918,0.998764157253688,0.318678551429821,3.46293151208708,0.9511
"11","LPC7-LPC8","pre_5",2.24466764736031e-05,0.000271591741235935,0.00507306275643271,0.943281326062079,3.46293151208708,0.9511
"12","LPC7-LPC8","pre_4",4.63732156684212e-05,0.000404146584881651,0.0104808327709817,0.918549059194799,3.46293151208708,0.9511
"13","LPC7-LPC8","pre_3",0.00241063698014504,0.00288955220788899,0.546120455678853,0.460674035119873,3.46293151208708,0.9511
"14","LPC7-LPC8","pre_2",0.00243639577102642,0.00293663145814045,0.551970262264684,0.458285325745526,3.46293151208708,0.9511
"15","LPC7-LPC8","pre_1",0.00438313164852008,0.00379574242437194,0.994948743893554,0.319602634480321,3.46293151208708,0.9511
"16","LPC7-LPC8","post_1",0.0150914637465297,0.00678474232702386,3.46293151208708,0.0640576396343094,3.46293151208708,0.9511
"17","LPC7-LPC8","post_2",0.00372955929628379,0.00353695855635273,0.846035741424554,0.358656937935136,3.46293151208708,0.9511
"18","LPC7-LPC8","post_3",0.000199821166244628,0.000866269315260675,0.045168609215457,0.831885860579653,3.46293151208708,0.9511
"19","LPC7-LPC8","post_4",0.0044647837714232,0.0040676206389403,1.0135664875465,0.315126614333169,3.46293151208708,0.9511
"20","LPC7-LPC8","post_5",0.000103872719633679,0.000589342169798187,0.0234776733269906,0.878358148778736,3.46293151208708,0.9511
"21","LPC7-LPC8","post_6",0.000548019510209196,0.00143128915793208,0.123920320060383,0.725148899825785,3.46293151208708,0.9511
"22","LPC7-LPC8","post_7",0.00148447963184369,0.00229240648338918,0.335991168843301,0.562729760516227,3.46293151208708,0.9511
"23","LPC7-LPC8","post_8",0.00539617790667283,0.00437463691019756,1.22615274526225,0.269333701944139,3.46293151208708,0.9511
"24","LPC7-LPC8","post_9",0.00351239239717586,0.00342753598332988,0.796598648799388,0.373061605427958,3.46293151208708,0.9511
"25","LPC7-LPC8","post_10",0.00883273525592579,0.00568849510841179,2.01398718343938,0.15723295290101,3.46293151208708,0.9511
"26","LPC7-LPC8","post_11",0.00209509305342297,0.0027201966725316,0.474485120553615,0.491637535200926,3.46293151208708,0.9511
"27","LPC7-LPC8","post_12",0.000195355276078091,0.000783280684446859,0.044158919071475,0.833747547693718,3.46293151208708,0.9511
"28","LPC7-LPC8","post_13",0.00145977674318862,0.00223493506809139,0.330391842288139,0.566000192197391,3.46293151208708,0.9511
"29","LPC7-LPC8","post_14",0.00129309631405135,0.00213252250728714,0.292618150427347,0.589080394154577,3.46293151208708,0.9511
"30","LPC7-LPC8","post_15",9.56873451195256e-06,0.000183211956010534,0.002162554692613,0.962950188867868,3.46293151208708,0.9511
"31","LPC7-LPC8","post_16",0.000392203162543366,0.00116626958752716,0.088672692445209,0.766144941180741,3.46293151208708,0.9511
"32","LPC7-LPC8","post_17",0.000106742436248372,0.000547950700992113,0.024126365899206,0.876702452096374,3.46293151208708,0.9511
"33","LPC7-LPC8","post_18",0.00195372568632657,0.00256426491706924,0.442406345751294,0.506641484480015,3.46293151208708,0.9511
"34","LPC7-LPC8","post_19",0.00171575379340505,0.00234248247779677,0.38842680206865,0.533755946536056,3.46293151208708,0.9511
"35","LPC7-LPC8","post_20",0.00465849666555655,0.00387147415230125,1.05774776083262,0.304828887733213,3.46293151208708,0.9511
"36","LPC7-LPC8","post_21",0.00194412168269222,0.00263413750407837,0.440227355836236,0.50768897272897,3.46293151208708,0.9511
"37","LPC7-LPC8","post_22",0.000123427613778388,0.000613896042670797,0.0278980841078661,0.867498000181372,3.46293151208708,0.9511
"38","LPC7-LPC8","post_23",0.000276373974826213,0.00107038971011032,0.0624777855446534,0.802848767137866,3.46293151208708,0.9511
