"","electrode","bin","R2","absBeta","Fstat","p","fstretch","perm_p"
"1","RIN9-RIN10","bin_3",1.89154088777772e-05,0.000131866527231233,0.00427496326905582,0.947926696255015,6.20924183795468,0.5073
"2","RIN9-RIN10","bin_4",0.0132858619322151,0.00436149589487841,3.0430341279597,0.0824437039141796,6.20924183795468,0.5073
"3","RIN9-RIN10","bin_5",0.0160598216381526,0.00500820323527821,3.68876052634138,0.0560387514421503,6.20924183795468,0.5073
"4","RIN9-RIN10","bin_6",0.00310277431360383,0.00201849734135998,0.703409515852196,0.402526611108966,6.20924183795468,0.5073
"5","RIN9-RIN10","bin_7",1.47084634482881e-05,0.000151262425259636,0.00332416163262298,0.954073949983487,6.20924183795468,0.5073
"6","RIN9-RIN10","bin_8",0.000180938987167588,0.000525427632218444,0.0408996114341434,0.839913753797979,6.20924183795468,0.5073
"7","RIN9-RIN10","bin_9",0.000324193885730301,0.000675261819468472,0.0732915788567889,0.78685026691722,6.20924183795468,0.5073
"8","RIN9-RIN10","bin_10",0.00392317738460573,0.00263758878998134,0.89013022769956,0.346449506256081,6.20924183795468,0.5073
"9","RIN9-RIN10","bin_11",0.000122551007728141,0.000461541807379275,0.0276999223999639,0.867965060171921,6.20924183795468,0.5073
"10","RIN9-RIN10","bin_12",0.00143437884429243,0.00155207388529785,0.324635268771726,0.569401161345791,6.20924183795468,0.5073
"11","RIN9-RIN10","bin_13",4.86550116208718e-05,0.000266910643432407,0.0109965676644445,0.916576319860694,6.20924183795468,0.5073
"12","RIN9-RIN10","bin_14",0.000164991564218603,0.000477587991357818,0.0372942467495118,0.847040634638334,6.20924183795468,0.5073
"13","RIN9-RIN10","bin_15",0.0022113590070861,0.00186160419146501,0.500874749490166,0.479845220565663,6.20924183795468,0.5073
"14","RIN9-RIN10","bin_16",0.00776054910455241,0.00351571622321415,1.76760165708595,0.185019591736144,6.20924183795468,0.5073
"15","RIN9-RIN10","bin_17",0.00017837064561723,0.000518682631292499,0.0403189576279967,0.841038826781526,6.20924183795468,0.5073
"16","RIN9-RIN10","bin_18",0.00785911532689331,0.0034757313159,1.79022968543737,0.182242891561202,6.20924183795468,0.5073
"17","RIN9-RIN10","bin_19",0.000333619516375069,0.000704377127314104,0.0754231733433799,0.783849248456397,6.20924183795468,0.5073
"18","RIN9-RIN10","bin_20",0.00349703191485517,0.00224915612325072,0.793102718274833,0.37411064272633,6.20924183795468,0.5073
"19","RIN9-RIN10","bin_21",0.0171095403232311,0.00544918319576031,3.93406617693883,0.0485278614452388,6.20924183795468,0.5073
"20","RIN9-RIN10","bin_22",0.00996681156603046,0.00404454142729408,2.27517566101585,0.132856888093853,6.20924183795468,0.5073
"21","RIN9-RIN10","bin_23",0.000791789535473231,0.00114197866448938,0.17908623362268,0.672562116459261,6.20924183795468,0.5073
"22","RIN9-RIN10","bin_24",8.97590221245287e-05,0.00037594943487159,0.0202873599737362,0.886864340519304,6.20924183795468,0.5073
"23","RIN9-RIN10","bin_25",7.72894764591453e-05,0.000354551989238106,0.0174687718319961,0.894967833834702,6.20924183795468,0.5073
"24","RIN9-RIN10","bin_26",0.000531037039919808,0.000939564804597669,0.120078136960287,0.729272171598234,6.20924183795468,0.5073
"25","RIN9-RIN10","bin_27",0.00593191292871847,0.00296495068289624,1.34861217186851,0.246745961869411,6.20924183795468,0.5073
"26","RIN9-RIN10","bin_28",0.0141660135770475,0.00472195619299938,3.24752353084242,0.0728639610652162,6.20924183795468,0.5073
"27","RIN9-RIN10","bin_29",0.0013752911003973,0.00151224705031744,0.311243839572408,0.577470127158706,6.20924183795468,0.5073
"28","RIN9-RIN10","bin_30",0.00160547166987813,0.00164023541044796,0.363420057999843,0.547217380774266,6.20924183795468,0.5073
"29","RIN9-RIN10","bin_31",8.92899359046989e-05,0.000390437114259979,0.0201813275039012,0.887158383807523,6.20924183795468,0.5073
"30","RIN9-RIN10","bin_32",0.00221433206840807,0.00196732248912933,0.501549644922876,0.479549788263608,6.20924183795468,0.5073
"31","RIN9-RIN10","bin_33",0.00886329147987079,0.00388441923684553,2.02101673485754,0.156513719393452,6.20924183795468,0.5073
"32","RIN9-RIN10","bin_34",0.00302684102863278,0.00219408196254576,0.686142918006736,0.408353325669301,6.20924183795468,0.5073
"33","RIN9-RIN10","bin_35",0.000946626293524839,0.00114572170482019,0.214140253130729,0.643986737046177,6.20924183795468,0.5073
"34","RIN9-RIN10","bin_36",0.00263076986695456,0.00209056509630068,0.596122250385064,0.440868013019774,6.20924183795468,0.5073
"35","RIN9-RIN10","bin_37",0.000159810961313231,0.000509734686564674,0.0361230501161548,0.849432207580606,6.20924183795468,0.5073
"36","RIN9-RIN10","bin_38",0.000672334510300771,0.00105577216153971,0.152049827674405,0.696951352051073,6.20924183795468,0.5073
"37","RIN9-RIN10","bin_39",0.000801499262811607,0.00118708382764526,0.181284132493977,0.670677183439991,6.20924183795468,0.5073
"38","RIN9-RIN10","bin_40",0.000309945033418382,0.000754033242566103,0.0700692951825913,0.791477168841499,6.20924183795468,0.5073
"39","RIN9-RIN10","bin_41",0.000448589927701954,0.000884196227926478,0.101426822711709,0.750418178912022,6.20924183795468,0.5073
"40","RIN9-RIN10","bin_42",3.31419990848071e-05,0.000236825350343705,0.00749034003800908,0.931108423004446,6.20924183795468,0.5073
"41","RIN9-RIN10","bin_43",0.000601322480425994,0.000991112650033708,0.135980648797299,0.712655156654948,6.20924183795468,0.5073
"42","RIN9-RIN10","bin_44",0.00278198890865588,0.00222511645541844,0.630483491436495,0.428010962884197,6.20924183795468,0.5073
"43","RIN9-RIN10","bin_45",0.0021772037502716,0.00200040304399092,0.493121673919179,0.483260691770944,6.20924183795468,0.5073
"44","RIN9-RIN10","bin_46",0.00207646731791387,0.0018944787926354,0.470258089402162,0.493571302377863,6.20924183795468,0.5073
"45","RIN9-RIN10","bin_47",0.00346456352612302,0.00249867002520642,0.785713511276955,0.376341657682661,6.20924183795468,0.5073
"46","RIN9-RIN10","bin_48",0.00556442838727452,0.00318494058049156,1.26459757818658,0.261975576074033,6.20924183795468,0.5073
"47","RIN9-RIN10","bin_49",8.25029563577787e-05,0.000367506421510643,0.0186472065865292,0.891504290779653,6.20924183795468,0.5073
"48","RIN9-RIN10","bin_50",0.00182605002957699,0.0017458080169646,0.413442272959166,0.520879325785066,6.20924183795468,0.5073
"49","RIN9-RIN10","bin_51",0.00417539495477384,0.00264161792103797,0.947595846696348,0.33137274909328,6.20924183795468,0.5073
"50","RIN9-RIN10","bin_52",0.000391219442756376,0.000752066946234043,0.0884501974999185,0.766429921825029,6.20924183795468,0.5073
"51","RIN9-RIN10","bin_53",0.0030776005105164,0.00215764071541388,0.697684910814409,0.404444834941852,6.20924183795468,0.5073
"52","RIN9-RIN10","bin_54",0.00010605390928765,0.000405817964657374,0.0239707256881765,0.87709760277221,6.20924183795468,0.5073
"53","RIN9-RIN10","bin_55",2.16501915342613e-05,0.000182045502505605,0.00489304922219591,0.944295045719956,6.20924183795468,0.5073
"54","RIN9-RIN10","bin_56",0.00270698479205012,0.0019921468863536,0.613439133408312,0.434315829645212,6.20924183795468,0.5073
"55","RIN9-RIN10","bin_57",5.34969957652454e-05,0.00028491738604528,0.0120909678734026,0.912539518888099,6.20924183795468,0.5073
"56","RIN9-RIN10","bin_58",0.000211376980158973,0.000595796669346443,0.0477812973822767,0.827167224320095,6.20924183795468,0.5073
"57","RIN9-RIN10","bin_59",0.00693069479232743,0.00342707999401458,1.57726859027069,0.210451362677371,6.20924183795468,0.5073
"58","RIN9-RIN10","bin_60",0.00781572011784407,0.0037488350796125,1.78026681378438,0.183459411027395,6.20924183795468,0.5073
"59","RIN9-RIN10","bin_61",0.00334620042996286,0.00243266344956881,0.758780328232185,0.38463484376382,6.20924183795468,0.5073
"60","RIN9-RIN10","bin_62",0.00644891437763665,0.00354472170695754,1.46691465636407,0.227098075469601,6.20924183795468,0.5073
"61","RIN9-RIN10","bin_63",0.00740524471800228,0.00357004187055452,1.68607107519226,0.195443111842076,6.20924183795468,0.5073
