"","electrode","bin","R2","absBeta","Fstat","p","fstretch","perm_p"
"1","LTH8-LTH9","bin_3",0.00558717742335428,0.00177810180428179,1.26979667700407,0.260999862755287,2.43846412218568,0.9996
"2","LTH8-LTH9","bin_4",0.00155955718203649,0.0012706585527205,0.353010463143377,0.553008177985686,2.43846412218568,0.9996
"3","LTH8-LTH9","bin_5",0.00221284358955664,0.00165397038999515,0.501211754457663,0.479697660873891,2.43846412218568,0.9996
"4","LTH8-LTH9","bin_6",0.00215214062636752,0.0016353213475175,0.487432805502406,0.485792434953346,2.43846412218568,0.9996
"5","LTH8-LTH9","bin_7",0.000872010841685469,0.000993889986682173,0.197246451264903,0.657377627776293,2.43846412218568,0.9996
"6","LTH8-LTH9","bin_8",0.000180427543224592,0.000449108960642585,0.0407839833226716,0.840137128328866,2.43846412218568,0.9996
"7","LTH8-LTH9","bin_9",0.000262864534420114,0.000580138599775221,0.0594230049794836,0.807631377070161,2.43846412218568,0.9996
"8","LTH8-LTH9","bin_10",0.0001559549049498,0.00044330665517107,0.035251306132752,0.851238498739009,2.43846412218568,0.9996
"9","LTH8-LTH9","bin_11",0.000171147042204195,0.000433030598577018,0.0386858525073799,0.844249091234472,2.43846412218568,0.9996
"10","LTH8-LTH9","bin_12",0.00346476895876982,0.00199705166761794,0.785760262448345,0.376327483264304,2.43846412218568,0.9996
"11","LTH8-LTH9","bin_13",0.00511283825725077,0.00246634796380843,1.1614396994676,0.282316125441543,2.43846412218568,0.9996
"12","LTH8-LTH9","bin_14",0.000840577511904855,0.00104141720972566,0.19013033697609,0.663224381321141,2.43846412218568,0.9996
"13","LTH8-LTH9","bin_15",0.000113989524396016,0.000422878399673874,0.0257645694045123,0.872620003581287,2.43846412218568,0.9996
"14","LTH8-LTH9","bin_16",0.000451828005369815,0.000833712751920981,0.102159287640743,0.749548895727932,2.43846412218568,0.9996
"15","LTH8-LTH9","bin_17",0.00103205343483714,0.00118185000419043,0.233485045316195,0.629419453090485,2.43846412218568,0.9996
"16","LTH8-LTH9","bin_18",0.0106744900932332,0.00386565445643544,2.43846412218568,0.119791283001645,2.43846412218568,0.9996
"17","LTH8-LTH9","bin_19",0.00792706154631929,0.00336860075581243,1.8058308416925,0.180356733164298,2.43846412218568,0.9996
"18","LTH8-LTH9","bin_20",3.29313175395249e-06,6.4676836348405e-05,0.00074425022730732,0.978259725139252,2.43846412218568,0.9996
"19","LTH8-LTH9","bin_21",2.40805657420015e-05,0.00016592271970654,0.00544233891229231,0.94125689278845,2.43846412218568,0.9996
"20","LTH8-LTH9","bin_22",3.07256908349077e-06,6.00574465473266e-05,0.000694402746469325,0.979000213412895,2.43846412218568,0.9996
"21","LTH8-LTH9","bin_23",0.000714912833295377,0.000964882075026172,0.161685891643654,0.687989101152385,2.43846412218568,0.9996
"22","LTH8-LTH9","bin_24",0.00392784056096228,0.00228461148384326,0.891192428545941,0.346162493369321,2.43846412218568,0.9996
"23","LTH8-LTH9","bin_25",0.000210143728623622,0.000500798422194375,0.0475024650140553,0.82766426151091,2.43846412218568,0.9996
"24","LTH8-LTH9","bin_26",1.65739952303857e-05,0.000146526501671251,0.00374578500468998,0.951251774304032,2.43846412218568,0.9996
"25","LTH8-LTH9","bin_27",0.00188165648532483,0.00145431160219759,0.426056056825849,0.514593956822572,2.43846412218568,0.9996
"26","LTH8-LTH9","bin_28",0.00556788705923015,0.00250975114795987,1.2653880129281,0.261826942877505,2.43846412218568,0.9996
"27","LTH8-LTH9","bin_29",0.00343028206654655,0.00205660417500998,0.7779122053268,0.378717526543714,2.43846412218568,0.9996
"28","LTH8-LTH9","bin_30",9.18689027968421e-05,0.000337026040958206,0.0207642796236727,0.885551368717012,2.43846412218568,0.9996
"29","LTH8-LTH9","bin_31",0.00458649901395744,0.00248677643357489,1.04132481237957,0.308604666059559,2.43846412218568,0.9996
"30","LTH8-LTH9","bin_32",0.00175222050947904,0.0014887178929315,0.396696935648955,0.529436288138349,2.43846412218568,0.9996
"31","LTH8-LTH9","bin_33",0.00494414239660462,0.00247746241062116,1.12292809805056,0.290420043173609,2.43846412218568,0.9996
"32","LTH8-LTH9","bin_34",0.00811478696077292,0.00308267247516554,1.84894565321255,0.175261072593294,2.43846412218568,0.9996
"33","LTH8-LTH9","bin_35",0.00264997007179203,0.00180764065675334,0.600484502184362,0.439203227121711,2.43846412218568,0.9996
"34","LTH8-LTH9","bin_36",0.00167765774819998,0.00144003995016364,0.379787805047004,0.538337047632065,2.43846412218568,0.9996
"35","LTH8-LTH9","bin_37",4.93932275849463e-06,8.60357994453599e-05,0.00111629245714853,0.973376356295784,2.43846412218568,0.9996
"36","LTH8-LTH9","bin_38",1.25920930990492e-05,0.000139230876517452,0.00284584887557911,0.95750295771154,2.43846412218568,0.9996
"37","LTH8-LTH9","bin_39",6.03424055084013e-05,0.000291628184529431,0.0136382066070922,0.90713593932344,2.43846412218568,0.9996
"38","LTH8-LTH9","bin_40",0.000336259532071714,0.000640736237150929,0.0760202167707266,0.783016883949986,2.43846412218568,0.9996
"39","LTH8-LTH9","bin_41",1.46367714719153e-05,0.000130446615122146,0.00330795877048943,0.9541858904873,2.43846412218568,0.9996
"40","LTH8-LTH9","bin_42",0.000164155991266613,0.000450292893437319,0.0371053450909593,0.847423708567605,2.43846412218568,0.9996
"41","LTH8-LTH9","bin_43",0.00038020699425578,0.000693791793603086,0.085959463090896,0.769647152061357,2.43846412218568,0.9996
"42","LTH8-LTH9","bin_44",0.000342613328822175,0.000614296668004264,0.077457150165871,0.781027907473608,2.43846412218568,0.9996
"43","LTH8-LTH9","bin_45",1.99169954311206e-05,0.000152085082701104,0.00450133062041466,0.946567813423183,2.43846412218568,0.9996
"44","LTH8-LTH9","bin_46",0.00351203215032065,0.00194751451549779,0.796516658083925,0.373086161309306,2.43846412218568,0.9996
"45","LTH8-LTH9","bin_47",0.000196219005290374,0.000455922508206606,0.0443541983323018,0.833385766939528,2.43846412218568,0.9996
"46","LTH8-LTH9","bin_48",0.000785062175568945,0.000941253708056261,0.177563450026961,0.673876082941798,2.43846412218568,0.9996
"47","LTH8-LTH9","bin_49",0.000138783308023735,0.000408095179588095,0.031369381159852,0.859577446483398,2.43846412218568,0.9996
"48","LTH8-LTH9","bin_50",9.90908736349248e-05,0.000346562075092132,0.0223967567556865,0.881169917279314,2.43846412218568,0.9996
"49","LTH8-LTH9","bin_51",3.56324518980261e-05,0.00020550605053098,0.00805322108496684,0.928573512954084,2.43846412218568,0.9996
"50","LTH8-LTH9","bin_52",0.0018128224334973,0.00140518147282932,0.410441928305671,0.522394342966621,2.43846412218568,0.9996
"51","LTH8-LTH9","bin_53",0.00234425764472921,0.00167406409150723,0.531047139024171,0.466921410592855,2.43846412218568,0.9996
"52","LTH8-LTH9","bin_54",0.000709598861403172,0.000935957540725154,0.160483221388288,0.689090459856751,2.43846412218568,0.9996
"53","LTH8-LTH9","bin_55",0.00314643359385778,0.0018183461322313,0.713338464319784,0.399230927347417,2.43846412218568,0.9996
"54","LTH8-LTH9","bin_56",0.00878970790042569,0.00306467286144385,2.00408934544906,0.158252074070318,2.43846412218568,0.9996
"55","LTH8-LTH9","bin_57",0.00267715837075655,0.00175171766807874,0.606661921833234,0.436862206503562,2.43846412218568,0.9996
"56","LTH8-LTH9","bin_58",0.00217356257554673,0.00159500030668113,0.492295176445204,0.483627154264218,2.43846412218568,0.9996
"57","LTH8-LTH9","bin_59",0.00459112116469484,0.00240390428787018,1.04237907183939,0.308360457972738,2.43846412218568,0.9996
"58","LTH8-LTH9","bin_60",0.000891926181412991,0.00107329177361111,0.201755267804929,0.653738190573932,2.43846412218568,0.9996
"59","LTH8-LTH9","bin_61",0.000212413298946784,0.00050999551453648,0.0480156047149717,0.826750729885738,2.43846412218568,0.9996
"60","LTH8-LTH9","bin_62",0.000543151656978724,0.000778495753908866,0.122818983811757,0.726323380887932,2.43846412218568,0.9996
"61","LTH8-LTH9","bin_63",0.0015809167351047,0.00139875122676139,0.35785291780012,0.550300115105662,2.43846412218568,0.9996
