"","electrode","bin","R2","absBeta","Fstat","p","fstretch","perm_p"
"1","RAM6-RAM7","bin_3",0.000119883607544993,0.000391229112820592,0.0270969437845428,0.869396918134321,2.16013491972795,0.844
"2","RAM6-RAM7","bin_4",0.00446405381647477,0.00236076401858115,1.01340003481633,0.31516626564612,2.16013491972795,0.844
"3","RAM6-RAM7","bin_5",0.00823260078960222,0.00305609152890725,1.87601223828431,0.172147419791102,2.16013491972795,0.844
"4","RAM6-RAM7","bin_6",0.00134553502456604,0.00133156063375158,0.304500631817037,0.581619813469881,2.16013491972795,0.844
"5","RAM6-RAM7","bin_7",0.000548298523460748,0.000868081061938296,0.123983446242637,0.725081759240571,2.16013491972795,0.844
"6","RAM6-RAM7","bin_8",1.63803679849625e-05,0.000149499227572036,0.00370202380511374,0.951537013551195,2.16013491972795,0.844
"7","RAM6-RAM7","bin_9",0.00268178322185994,0.00197057169268538,0.607712762029267,0.436465882695939,2.16013491972795,0.844
"8","RAM6-RAM7","bin_10",0.009467626412861,0.00352930929442398,2.16013491972795,0.143022967715283,2.16013491972795,0.844
"9","RAM6-RAM7","bin_11",0.00136304762438524,0.00162072776461627,0.308469221350423,0.579170397529172,2.16013491972795,0.844
"10","RAM6-RAM7","bin_12",0.000101173022042224,0.000494771126869078,0.022867416547181,0.879937254113449,2.16013491972795,0.844
"11","RAM6-RAM7","bin_13",0.000231471894764834,0.000579521423647641,0.0523247599281762,0.819273146163127,2.16013491972795,0.844
"12","RAM6-RAM7","bin_14",1.46427238223806e-05,0.000141105610768149,0.00330930404108314,0.954176585977951,2.16013491972795,0.844
