"","electrode","bin","R2","absBeta","Fstat","p","fstretch","perm_p"
"1","RIN6-RIN7","bin_3",0.00329026865031096,0.00149845402846811,0.746055437788627,0.388643740662579,2.49940871141583,0.7725
"2","RIN6-RIN7","bin_4",2.24475518409423e-05,0.000137741198559587,0.00507326059833325,0.943280221978141,2.49940871141583,0.7725
"3","RIN6-RIN7","bin_5",0.000782775544202468,0.000854972314317624,0.177045860159293,0.674324207831734,2.49940871141583,0.7725
"4","RIN6-RIN7","bin_6",0.00106879953381022,0.00106935334060398,0.241807137997474,0.623381201911822,2.49940871141583,0.7725
"5","RIN6-RIN7","bin_7",0.00132504817117349,0.0011879867662715,0.299858213262304,0.584511703039009,2.49940871141583,0.7725
"6","RIN6-RIN7","bin_8",0.000815170476727246,0.000962894196317614,0.18437882791741,0.668045912396376,2.49940871141583,0.7725
"7","RIN6-RIN7","bin_9",0.00320953966180933,0.00192182385258668,0.727691518358642,0.394535650304489,2.49940871141583,0.7725
"8","RIN6-RIN7","bin_10",0.00418998737414418,0.00224451845284613,0.950921495617022,0.330527457183769,2.49940871141583,0.7725
"9","RIN6-RIN7","bin_11",5.34544602300868e-05,0.000264450259570632,0.0120813538142466,0.912574157162499,2.49940871141583,0.7725
"10","RIN6-RIN7","bin_12",0.000993415899510851,0.00113375878602312,0.224735248858849,0.635913017677017,2.49940871141583,0.7725
"11","RIN6-RIN7","bin_13",0.0109383596461401,0.00350682830415106,2.49940871141583,0.115287540291404,2.49940871141583,0.7725
"12","RIN6-RIN7","bin_14",1.68675956239074e-05,0.000134001496704369,0.00381214091265445,0.950822432762174,2.49940871141583,0.7725
