"","electrode","bin","R2","absBeta","Fstat","p","fstretch","perm_p"
"1","RHH8-RHH9","bin_3",0.00664308587994784,0.00207571738621387,1.51137762019621,0.220207379871854,4.6941252198807,0.3001
"2","RHH8-RHH9","bin_4",0.011615072697569,0.00275562096193712,2.65585437124679,0.104562277855407,4.6941252198807,0.3001
"3","RHH8-RHH9","bin_5",0.0252714915399062,0.00367402970781897,5.85943371764286,0.0162834271373316,4.6941252198807,0.3001
"4","RHH8-RHH9","bin_6",0.00840664349298764,0.00208984546793189,1.91600863090471,0.167662642861882,4.6941252198807,0.3001
"5","RHH8-RHH9","bin_7",0.0156757117403587,0.00301808931036081,3.59912977417721,0.0590847519206775,4.6941252198807,0.3001
"6","RHH8-RHH9","bin_8",0.0203478316381338,0.00352601188052002,4.6941252198807,0.0313117167193665,4.6941252198807,0.3001
"7","RHH8-RHH9","bin_9",0.00116393662878075,0.00086574215191099,0.263356208041406,0.608324993745692,4.6941252198807,0.3001
"8","RHH8-RHH9","bin_10",0.00297348436476324,0.00133448496655586,0.674011629478415,0.412521604821145,4.6941252198807,0.3001
"9","RHH8-RHH9","bin_11",0.003625631543631,0.00144294933888173,0.822374355263724,0.365452746037944,4.6941252198807,0.3001
"10","RHH8-RHH9","bin_12",0.000898393627889478,0.00072523332798267,0.203219531034766,0.652566787764635,4.6941252198807,0.3001
"11","RHH8-RHH9","bin_13",0.0092584734433638,0.0023630009989756,2.11196860342828,0.147538325354006,4.6941252198807,0.3001
"12","RHH8-RHH9","bin_14",0.00740456911659098,0.00209493858824523,1.68591610265646,0.195463571223482,4.6941252198807,0.3001
