"","electrode","bin","R2","absBeta","Fstat","p","fstretch","perm_p"
"1","LOF4-LOF5","pre_15",0.0243795032320293,0.00406422074526788,5.64744974986825,0.0183152609486252,26.0901509580109,0
"2","LOF4-LOF5","pre_14",0.0317528451677134,0.00453550713526108,7.41147853839676,0.00698635971574484,26.0901509580109,0
"3","LOF4-LOF5","pre_13",0.0117390733850209,0.00263163079449751,2.68454465168624,0.102717592929071,26.0901509580109,0
"4","LOF4-LOF5","pre_12",0.000645917815007772,0.000650190603881773,0.146071776554503,0.702677084857521,26.0901509580109,0
"5","LOF4-LOF5","pre_11",0.0145601628492279,0.00320018403149612,3.33921633758962,0.0689655415950075,26.0901509580109,0
"6","LOF4-LOF5","pre_10",0.018066919997875,0.0033550387174615,4.15825070228912,0.0425959216099587,26.0901509580109,0
"7","LOF4-LOF5","pre_9",0.0281103798614406,0.00377402512966363,6.53669482320415,0.0112224985881735,26.0901509580109,0
"8","LOF4-LOF5","pre_8",0.0410692662272584,0.00498664310817801,9.67917060165899,0.00210372057726583,26.0901509580109,0
"9","LOF4-LOF5","pre_7",0.0231749342964554,0.00347644418145374,5.36179438354877,0.0214791413094557,26.0901509580109,0
"10","LOF4-LOF5","pre_6",0.00911615169473722,0.00203546103414782,2.07920462780206,0.150702263086755,26.0901509580109,0
"11","LOF4-LOF5","pre_5",0.00615017887554277,0.00173663730703978,1.39854170753894,0.238210542126834,26.0901509580109,0
"12","LOF4-LOF5","pre_4",0.00819282558158611,0.00219048202636729,1.86687355082323,0.173191491246747,26.0901509580109,0
"13","LOF4-LOF5","pre_3",0.00286658727411084,0.00136769436689984,0.649711177743016,0.42106328319187,26.0901509580109,0
"14","LOF4-LOF5","pre_2",0.00552613903392736,0.00182411109512156,1.25584740905542,0.263628005263537,26.0901509580109,0
"15","LOF4-LOF5","pre_1",0.0150026600190309,0.00297342842439288,3.44224398044211,0.0648514675342434,26.0901509580109,0
"16","LOF4-LOF5","post_1",0.0110462634663785,0.00243447899710156,2.52434006888115,0.113499632465036,26.0901509580109,0
"17","LOF4-LOF5","post_2",0.0137045633450157,0.00254944347371935,3.14026730821933,0.0777286268669925,26.0901509580109,0
"18","LOF4-LOF5","post_3",0.0217860684752509,0.00349104715529082,5.03330745630681,0.0258339887742676,26.0901509580109,0
"19","LOF4-LOF5","post_4",0.0151086001022405,0.00293081264173286,3.4669239912754,0.0639056439168321,26.0901509580109,0
"20","LOF4-LOF5","post_5",0.00860027696009664,0.0023573941984924,1.96052363926635,0.162828652194663,26.0901509580109,0
"21","LOF4-LOF5","post_6",0.00848244153228091,0.00210360384481473,1.93343201027932,0.165751194313141,26.0901509580109,0
"22","LOF4-LOF5","post_7",0.0150065537576298,0.00269891681282728,3.44315097949374,0.0648164432974893,26.0901509580109,0
"23","LOF4-LOF5","post_8",0.0234972958508086,0.00371036190122942,5.43817117937177,0.0205810849656986,26.0901509580109,0
"24","LOF4-LOF5","post_9",0.0139472246350079,0.00277001677902963,3.19665726446034,0.0751286650769666,26.0901509580109,0
"25","LOF4-LOF5","post_10",0.00238353406319554,0.00112076028064144,0.539965724980642,0.463208720751064,26.0901509580109,0
"26","LOF4-LOF5","post_11",0.0011823112653642,0.00079841031449709,0.267518636269665,0.605507004876499,26.0901509580109,0
"27","LOF4-LOF5","post_12",0.000754944112868024,0.000702614830915403,0.170746273402072,0.679841212503659,26.0901509580109,0
"28","LOF4-LOF5","post_13",0.000626173432680094,0.000636402460935321,0.141603864363531,0.707044756425192,26.0901509580109,0
"29","LOF4-LOF5","post_14",0.00846087509140269,0.00227860034552501,1.92847435125999,0.166292513331447,26.0901509580109,0
"30","LOF4-LOF5","post_15",0.0280295617592383,0.00388825717606646,6.51735969362757,0.0113416210742171,26.0901509580109,0
"31","LOF4-LOF5","post_16",0.0163303032578039,0.002917115019478,3.75191850321983,0.0539933988908138,26.0901509580109,0
