"","electrode","bin","R2","absBeta","Fstat","p","fstretch","perm_p"
"1","ROF3-ROF4","bin_3",0.00581668120353537,0.0018377478708269,1.32226112342177,0.251402002082694,2.23243457296054,0.828
"2","ROF3-ROF4","bin_4",0.000314812128371699,0.00041400677743844,0.0711699461742351,0.789884154274342,2.23243457296054,0.828
"3","ROF3-ROF4","bin_5",0.000729008155563874,0.000632026994251028,0.164876039134622,0.685090567199621,2.23243457296054,0.828
"4","ROF3-ROF4","bin_6",0.00335733055422712,0.001443601069871,0.761312683589265,0.383844091717263,2.23243457296054,0.828
"5","ROF3-ROF4","bin_7",0.00229845415740918,0.00124127280703058,0.520647323579901,0.471311515086779,2.23243457296054,0.828
"6","ROF3-ROF4","bin_8",0.00978140805069001,0.00235206359903089,2.23243457296054,0.136535630145715,2.23243457296054,0.828
"7","ROF3-ROF4","bin_9",0.000492347086830136,0.000530299621083195,0.111325252287265,0.738949735890897,2.23243457296054,0.828
"8","ROF3-ROF4","bin_10",4.3482399518214e-07,1.64831197791247e-05,9.82702656414332e-05,0.992099336420807,2.23243457296054,0.828
"9","ROF3-ROF4","bin_11",0.00257624363629411,0.00118008166629735,0.583734905137111,0.445648990290734,2.23243457296054,0.828
"10","ROF3-ROF4","bin_12",0.00270373442715247,0.00118792123831384,0.612700560134429,0.434592226979545,2.23243457296054,0.828
"11","ROF3-ROF4","bin_13",0.00119440681324934,0.000860479915126455,0.270258738673162,0.603667080613345,2.23243457296054,0.828
"12","ROF3-ROF4","bin_14",0.00314964382461491,0.00145609545466342,0.714068566012261,0.398990139316931,2.23243457296054,0.828
