"","electrode","bin","R2","absBeta","Fstat","p","fstretch","perm_p"
"1","LTH8-LTH9","bin_3",0.0044882769015666,0.00257514312245981,1.01892379187357,0.313853923006648,46.2983691803633,0
"2","LTH8-LTH9","bin_4",0.00233703005671619,0.00251339947693519,0.529406030623633,0.467609785630872,46.2983691803633,0
"3","LTH8-LTH9","bin_5",0.00570257507501576,0.00429031358132366,1.29617349361112,0.256118771521828,46.2983691803633,0
"4","LTH8-LTH9","bin_6",0.00730954724764576,0.00486983426230285,1.66412165382239,0.198366155055271,46.2983691803633,0
"5","LTH8-LTH9","bin_7",0.0185640695998953,0.00740994741148825,4.27483812200145,0.0398193169494156,46.2983691803633,0
"6","LTH8-LTH9","bin_8",0.0415921344206989,0.0110181090218512,9.80774753282761,0.00196734688291682,46.2983691803633,0
"7","LTH8-LTH9","bin_9",0.0361259827929064,0.0109894702855537,8.4704763957162,0.00397045608655825,46.2983691803633,0
"8","LTH8-LTH9","bin_10",0.0141688102010858,0.00682767094351732,3.24817386443065,0.0728354884227898,46.2983691803633,0
"9","LTH8-LTH9","bin_11",0.0022844281726312,0.00255637051017052,0.517462873781808,0.472669133640019,46.2983691803633,0
"10","LTH8-LTH9","bin_12",0.00783714438839815,0.0048532453163502,1.78518538741924,0.182857648063276,46.2983691803633,0
"11","LTH8-LTH9","bin_13",0.0261971406636256,0.00902093236486655,6.07982789659718,0.0144177637961012,46.2983691803633,0
"12","LTH8-LTH9","bin_14",0.0257938350943292,0.00932169706283431,5.98375060774004,0.0152021906714365,46.2983691803633,0
"13","LTH8-LTH9","bin_15",0.0545375461627886,0.0149462412206543,13.0364620855821,0.0003762793818913,46.2983691803633,0
"14","LTH8-LTH9","bin_16",0.0596971618474644,0.0154848810008396,14.3480993889528,0.000194813562160667,46.2983691803633,0
"15","LTH8-LTH9","bin_17",0.0385308583642936,0.0116685467408614,9.05694588961624,0.00291389476624531,46.2983691803633,0
"16","LTH8-LTH9","bin_18",0.0417165787230609,0.0123482371661714,9.83836992489003,0.00193622135382011,46.2983691803633,0
"17","LTH8-LTH9","bin_19",0.0135776065367063,0.00712370940608221,3.11077596943243,0.0791270540485549,46.2983691803633,0
"18","LTH8-LTH9","bin_20",0.0100603877734129,0.00577633981480393,2.29675387135727,0.131042071288511,46.2983691803633,0
"19","LTH8-LTH9","bin_21",0.017281686428108,0.00718235280132109,3.97434450830215,0.0474006699297575,46.2983691803633,0
"20","LTH8-LTH9","bin_22",0.0172144901383415,0.00726380666315568,3.95862040315676,0.0478373636838158,46.2983691803633,0
"21","LTH8-LTH9","bin_23",0.0204964159196724,0.00834810328144294,4.72912000847369,0.0306940149603315,46.2983691803633,0
"22","LTH8-LTH9","bin_24",0.0186372627203322,0.00804132569879451,4.29201274390219,0.0394267471066235,46.2983691803633,0
"23","LTH8-LTH9","bin_25",0.00987940191600217,0.00554844417605969,2.2550231126765,0.134577343406045,46.2983691803633,0
"24","LTH8-LTH9","bin_26",0.00268520807259027,0.00301364926741864,0.60849094921433,0.436172744916445,46.2983691803633,0
"25","LTH8-LTH9","bin_27",0.0081487495862621,0.00489028244275473,1.85674757754959,0.174356925172601,46.2983691803633,0
"26","LTH8-LTH9","bin_28",0.0388385899597262,0.0107107119323574,9.13220322747906,0.00280094384984567,46.2983691803633,0
"27","LTH8-LTH9","bin_29",0.0617501362423493,0.0140995715469782,14.8740024697468,0.00014990933650918,46.2983691803633,0
"28","LTH8-LTH9","bin_30",0.0372213997553147,0.0109616694944997,8.73724898181498,0.00344820305305056,46.2983691803633,0
"29","LTH8-LTH9","bin_31",0.0139381087817128,0.00700485539852267,3.19453840851229,0.0752246385143882,46.2983691803633,0
"30","LTH8-LTH9","bin_32",0.0137555827009043,0.0067399811752421,3.15212095082672,0.0771741132863352,46.2983691803633,0
"31","LTH8-LTH9","bin_33",0.0177979017425764,0.00759533878370051,4.09521197415328,0.0441819425900966,46.2983691803633,0
"32","LTH8-LTH9","bin_34",0.010096374591503,0.0055561339815485,2.30505333965017,0.130351476560004,46.2983691803633,0
"33","LTH8-LTH9","bin_35",0.0146633891310545,0.00687084189368571,3.36324247679769,0.067981638099052,46.2983691803633,0
"34","LTH8-LTH9","bin_36",0.0204208684928709,0.00811822568283075,4.71132564072516,0.0310064921399715,46.2983691803633,0
"35","LTH8-LTH9","bin_37",0.0128920610914735,0.00710244422439599,2.95165877188129,0.0871590881183786,46.2983691803633,0
"36","LTH8-LTH9","bin_38",0.0149366449719803,0.00774844014114907,3.42686766941149,0.0654483368157485,46.2983691803633,0
"37","LTH8-LTH9","bin_39",0.0113019098028961,0.00644904284357071,2.58342930038967,0.10938364979877,46.2983691803633,0
"38","LTH8-LTH9","bin_40",0.0150760785560044,0.00693245946773403,3.45934714293639,0.0641944291345142,46.2983691803633,0
"39","LTH8-LTH9","bin_41",0.0160290481624934,0.00697533699277143,3.6815770607441,0.0562765740158649,46.2983691803633,0
"40","LTH8-LTH9","bin_42",0.0109165181198686,0.005933486421626,2.49436285236569,0.115653186558439,46.2983691803633,0
"41","LTH8-LTH9","bin_43",0.0077706821522749,0.00506815442392129,1.76992771209734,0.184731895195545,46.2983691803633,0
"42","LTH8-LTH9","bin_44",0.00578428353795822,0.00407851419345013,1.3148535654118,0.252730325877631,46.2983691803633,0
"43","LTH8-LTH9","bin_45",0.0138759001461319,0.00648644064329307,3.18007990423369,0.0758830863410896,46.2983691803633,0
"44","LTH8-LTH9","bin_46",0.0319940283388582,0.00949810755861803,7.46963408931644,0.0067713122845519,46.2983691803633,0
"45","LTH8-LTH9","bin_47",0.0371053663076705,0.0101307131582398,8.70896201111557,0.00350007166385482,46.2983691803633,0
"46","LTH8-LTH9","bin_48",0.0149511480858765,0.00663732530845644,3.43024557700076,0.0653167108662823,46.2983691803633,0
"47","LTH8-LTH9","bin_49",0.00252838983085543,0.00281459572543191,0.572864526616883,0.44991119482207,46.2983691803633,0
"48","LTH8-LTH9","bin_50",0.00861921667788141,0.00522275032589974,1.96487868432717,0.162364390726218,46.2983691803633,0
"49","LTH8-LTH9","bin_51",0.0270603942230141,0.00915102997019767,6.28574379960332,0.0128746820561804,46.2983691803633,0
"50","LTH8-LTH9","bin_52",0.0225007015889698,0.00799933657850137,5.20221197843655,0.0234900459137165,46.2983691803633,0
"51","LTH8-LTH9","bin_53",0.00794936545081895,0.00498123236084654,1.81095251524283,0.17974248974738,46.2983691803633,0
"52","LTH8-LTH9","bin_54",0.00534312808123809,0.00415000522950273,1.21403368382744,0.271706762398737,46.2983691803633,0
"53","LTH8-LTH9","bin_55",0.00995031321542709,0.00522500615878988,2.27137164599279,0.133179740412797,46.2983691803633,0
"54","LTH8-LTH9","bin_56",0.0181713623198206,0.00712019362633246,4.1827338566765,0.0419962952279752,46.2983691803633,0
"55","LTH8-LTH9","bin_57",0.030804439262589,0.00960140726168521,7.18307383501451,0.00790134983576799,46.2983691803633,0
"56","LTH8-LTH9","bin_58",0.0442967631141664,0.0116348784902993,10.4750806290274,0.00139149928999602,46.2983691803633,0
"57","LTH8-LTH9","bin_59",0.0319655627087727,0.0102494398434544,7.46276877545553,0.00679634006593208,46.2983691803633,0
"58","LTH8-LTH9","bin_60",0.0374584412726399,0.0112390435525551,8.79505684804878,0.0033446385929051,46.2983691803633,0
"59","LTH8-LTH9","bin_61",0.0261633982037529,0.00914584293858435,6.07178656372304,0.014481777613801,46.2983691803633,0
"60","LTH8-LTH9","bin_62",0.00932752620186478,0.00521290837435531,2.12786867241754,0.146030136321304,46.2983691803633,0
"61","LTH8-LTH9","bin_63",0.00627264260017842,0.0045020717544191,1.4265655635663,0.233577796198047,46.2983691803633,0
